date cases
2020-01-01 60
2020-01-02 97
2020-01-03 123
2020-01-04 40
2020-01-05 38
2020-01-06 86
2020-01-07 93
2020-01-08 85
2020-01-09 105
2020-01-10 105
2020-01-11 69
2020-01-12 52
2020-01-13 75
2020-01-14 77
2020-01-15 82
2020-01-16 96
2020-01-17 78
2020-01-18 61
2020-01-19 74
2020-01-20 32
2020-01-21 75
2020-01-22 90
2020-01-23 122
2020-01-24 90
2020-01-25 55
2020-01-26 57
2020-01-27 108
2020-01-28 113
2020-01-29 99
2020-01-30 91
2020-01-31 105
2020-02-01 62
2020-02-02 56
2020-02-03 76
2020-02-04 80
2020-02-05 95
2020-02-06 94
2020-02-07 98
2020-02-08 39
2020-02-09 48
2020-02-10 118
2020-02-11 77
2020-02-12 118
2020-02-13 75
2020-02-14 105
2020-02-15 58
2020-02-16 54
2020-02-17 89
2020-02-18 82
2020-02-19 115
2020-02-20 99
2020-02-21 123
2020-02-22 46
2020-02-23 48
2020-02-24 100
2020-02-25 103
2020-02-26 119
2020-02-27 86
2020-02-28 95
2020-02-29 37
2020-03-01 43
2020-03-02 116
2020-03-03 59
2020-03-04 104
2020-03-05 101
2020-03-06 118
2020-03-07 49
2020-03-08 47
2020-03-09 95
2020-03-10 91
2020-03-11 82
2020-03-12 106
2020-03-13 88
2020-03-14 42
2020-03-15 55
2020-03-16 122
2020-03-17 76
2020-03-18 42
2020-03-19 66
2020-03-20 71
2020-03-21 46
2020-03-22 32
2020-03-23 48
2020-03-24 61
2020-03-25 74
2020-03-26 61
2020-03-27 70
2020-03-28 35
2020-03-29 40
2020-03-30 56
2020-03-31 40
2020-04-01 89
2020-04-02 61
2020-04-03 64
2020-04-04 23
2020-04-05 23
2020-04-06 63
2020-04-07 80
2020-04-08 69
2020-04-09 70
2020-04-10 46
2020-04-11 36
2020-04-12 48
2020-04-13 66
2020-04-14 45
2020-04-15 38
2020-04-16 54
2020-04-17 88
2020-04-18 37
2020-04-19 48
2020-04-20 57
2020-04-21 83
2020-04-22 76
2020-04-23 69
2020-04-24 60
2020-04-25 33
2020-04-26 31
2020-04-27 82
2020-04-28 77
2020-04-29 51
2020-04-30 74
2020-05-01 81
2020-05-02 44
